reaction_id	flux
EX_h_e	3.0603404226
ENO	2.9342803358
PGM	-2.9342779539
GAPD	2.9342779539
PGK	-2.9342779539
PPS	-2.5468719135
ADK1	-2.4943942675
NGAM	2.27
HEX1	1.5
EX_glc__D_e	-1.5
PGI	1.5
PFK	1.4727270743
FBA	1.4727270743
TPI	1.4727223104
PFL	1.1579691455
EX_for_e	1.1387296608
FORt2	-1.1387296608
D_LACt2	-1.08919967
LDH_D	-1.08919967
EX_lac__D_e	1.08919967
ETOHt2r	-1.013514567
EX_etoh_e	1.013514567
ALCD2x	-1.013514567
GLCt2	0.7877062468
GLCt1	0.7122937532
PAPA160	0.6374815894
DAGK160	0.6374815894
SERAT	0.6028386732
EX_ac_e	0.6028386732
ACt2r	-0.6028386732
CYS	-0.6028386732
CYSS	0.6028386732
PYRDC	0.501463954
ACALD	-0.4988491185
EX_co2_e	0.445392381
CO2t	-0.445392381
PEPCK_re	-0.3698083528
NTP3	0.3649405225
MDH	-0.2951063723
ME2	0.2426307301
EX_h2o_e	-0.1814497409
H2Ot	0.1814497409
EX_nh4_e	-0.1782926697
NH4t	0.1782926697
GLUDy	-0.1367025778
PPA	0.0646314622
H2Oxt	0.0532060502
MDHh	0.047483008
H2td	0.047483008
MAKht	0.047483008
AGht	-0.047483008
H2ht	-0.047483008
EX_h2_e	0.047483008
HYDh2	0.047483008
AMTh	-0.047483008
ASPTA	-0.0454959303
EX_succ_e	0.04529
SUCCt2r	-0.04529
HCO3E	0.0399548763
GLNS	0.0397291454
EX_pi_e	-0.0351874671
PIt2r	0.0351874671
FUM	-0.0341986844
MDHx	0.0292060502
MOAAxt	0.0292060502
ASPK	0.027944282
ASAD	-0.027944282
HSDy	-0.027944282
Hxt	-0.0271441324
ACCOAC	0.0245313787
MCOATA	0.0245289968
FRDx	0.0242852362
ASPxt	0.024
ACONTa	0.024
CITxt	0.024
ASTx	0.024
ACONTb	0.024
ICDHyr	0.024
CSx	0.024
Biomass	0.0238191851
FUMxt	0.021
SUCCxt	-0.021
OSMx	0.021
FTHFLi	0.0192490124
THRS	0.0181617829
HSK	0.0181617829
PRPPS	0.0180768949
AKGxt	0.0157939498
CBPS	0.0154234976
RPE	-0.014989372
RPI	-0.0149822262
ACLS	0.0147327196
KARA1	-0.0147327196
DHAD1	0.0147327196
THRA	0.0132014944
UMPK	0.01248341
ASPCT	0.01248341
ORPT	-0.01248341
DHORD3	0.01248341
DHORTS	-0.01248341
OMPDC	0.01248341
NADPHQR	-0.01248341
NDPK2	0.0123740002
UAGDP	0.0122835537
GF6PTA	0.0122835537
ACGAM6PS	0.0122835537
ACGAMPM	0.0122835537
TKT2	-0.0118947034
MTHFD	-0.0110353607
MTHFC	-0.0110353607
HSST	0.0097824991
SUCOAS	0.0097824991
SHSL1	0.0097824991
ASNS2	0.0090937542
SHK3Dr	0.0088000347
CHORS	0.0088000347
PSCVT	0.0088000347
SHKK	0.0088000347
DDPA	0.0088000347
DHQS	0.0088000347
DHQTi	0.0088000347
AASAD2	0.0082060502
SACCRPxt	0.0082060502
r_HICITD	0.0082060502
r_HAH	0.0082060502
LYSLxt	-0.0082060502
SADHx	0.0082060502
HCITS	0.0082060502
AATA	0.0082060502
SACCD1	0.0082060502
CHORM	0.0080743803
KARI_1	0.0079608442
KARI_23dhmp_1	0.0079608442
ILETA	-0.0079608442
DHAD2	0.0079608442
ACHBS	0.0079608442
CYSTGL	0.0079608442
IPPMIa	-0.0074088089
LEUTA	-0.0074088089
IPPS	0.0074088089
IPPMIb	-0.0074088089
IPMD	0.0074088089
OMCDC	0.0074088089
CYSt2r	0.0063384346
EX_cys__L_e	-0.0063384346
PALMCL	0.0061441324
EX_hdec_e	-0.0061441324
HDECtex	0.0061441324
COAxt	-0.0061441324
GHMT2r	-0.0059553997
IMPC	-0.0048630665
AICART	0.0048630665
ADSS	0.0048006428
ADSL1r	0.0048006428
VALTA	-0.0041773964
PPND2	0.0041585113
TYRTA	-0.0041585113
PPNDH	0.003915869
PHETA1	-0.003915869
EAR100x	0.0038515622
EAR120x	0.0038515622
3OAS140	0.0038515622
KAS15	0.0038515622
3OAR140	0.0038515622
3OAR40	0.0038515622
3HAD40	0.0038515622
EAR40x	0.0038515622
3OAS60	0.0038515622
3OAS120	0.0038515622
3OAR60	0.0038515622
3HAD60	0.0038515622
EAR60x	0.0038515622
3OAS80	0.0038515622
3HAD140	0.0038515622
EAR140x	0.0038515622
3HAD120	0.0038515622
3OAR80	0.0038515622
3HAD80	0.0038515622
EAR80x	0.0038515622
3OAS100	0.0038515622
3OAR100	0.0038515622
3HAD100	0.0038515622
3OAR120	0.0038515622
ALATA_L	-0.0034435907
PRASCSi	0.0033505852
PRAIC	0.0033505852
PPRGL	0.0033505852
GARFT	0.0033505852
PRFGS	0.0033505852
ADSL2r	0.0033505852
GLUPRT	0.0033505852
PRFGCL	0.0033505852
GLU5K	0.0031719867
PRO1y	-0.0031719867
G5SD	0.0031719867
G5SADs	0.0031719867
DPR	0.0031465143
MOHMT	0.0031465143
ASP1DC	0.0031441324
PNTK	0.0031441324
PANTS	0.0031441324
DPCOAxt	0.0031441324
PPCDC	0.0031441324
APPAT	0.0031441324
NDPK3	0.0031441324
PPNCL	0.0031441324
FA140ACPHi	0.0031441324
DPCKx	0.0031441324
ATPADPxt	0.0031441324
TALA	-0.0030946686
TKT1	-0.0030946686
FAOXx	0.003
ABCDxt	0.003
ACGK	0.0029400876
AGPR	-0.0029400876
ACOTA	-0.0029400876
ARGSL	0.0029400876
ARGSS	0.0029400876
ORNTAC	0.0029400876
OCBT	0.0029400876
METS	0.0018240368
MTHFR3	0.0018240368
CYSTS	-0.0018216549
IG3PS	0.0015124813
PRAMPC	0.0015124813
PRATPP	0.0015124813
ATPPRT	0.0015124813
PRMICI	0.0015124813
IGPDH	0.0015124813
HSTPT	0.0015124813
HISTP	0.0015124813
HISTD	0.0015124813
PRAIi	0.0007256545
ANPRT	0.0007256545
TRPAS2	-0.0007256545
IGPS	0.0007256545
TRPS3	0.0007256545
ANS	0.0007256545
3OAR180	0.0007074298
FA180ACPH	0.0007074298
EAR180y	0.0007074298
3OAS160	0.0007074298
3OAR160	0.0007074298
3HAD160	0.0007074298
EAR160x	0.0007074298
3OAS180	0.0007074298
3HAD180	0.0007074298
TRDR	0.0003341421
RNTR1	0.0001345014
DHFR	0.0001117917
RNDR4	0.0001094098
NDPK4	0.0001094098
TMDS	0.0001094098
NDP8	0.0001094098
DTMPK	0.0001094098
GMPS2	6.24237e-05
GK1	6.24237e-05
IMPD	6.24237e-05
CTPS2	5.03511e-05
RNTR2	4.87831e-05
RNTR3	4.14479e-05
METAT	7.1458e-06
NADS1	4.7638e-06
NNDPR	4.7638e-06
DB4PS	4.7638e-06
NNATr	4.7638e-06
RBFSa	4.7638e-06
QULNS	4.7638e-06
ASPO5	4.7638e-06
GTPCI	2.3819e-06
RBFSb	2.3819e-06
EX_pheme_e	-2.3819e-06
AHCi	2.3819e-06
PYDXPP	2.3819e-06
HPYRRx	2.3819e-06
PYDXOR	2.3819e-06
HPYRDC	-2.3819e-06
GLYCK2	2.3819e-06
PYDXS	2.3819e-06
TMPPP	2.3819e-06
THMP	2.3819e-06
HETZK	2.3819e-06
PHEMEt	2.3819e-06
MEOHt2	-2.3819e-06
R_DM_4mhetz_c	-2.3819e-06
R_SINK_dad_5_c	2.3819e-06
R_SINK_amob_c	2.3819e-06
R_DM_4ahmmp_c	-2.3819e-06
EX_meoh_e	2.3819e-06
4ABZt	-2.3819e-06
PMPK	2.3819e-06
ADNK1	2.3819e-06
EX_4abz_e	-2.3819e-06
GTPCII2	2.3819e-06
MALCOAMT	2.3819e-06
DHPPDA2	2.3819e-06
OGMEACPS	2.3819e-06
OGMEACPR	2.3819e-06
OGMEACPD	2.3819e-06
EGMEACPR	2.3819e-06
OPMEACPS	2.3819e-06
OPMEACPR	2.3819e-06
OPMEACPD	2.3819e-06
EPMEACPR	2.3819e-06
PMEACPE	2.3819e-06
AOXSr2	2.3819e-06
AMAOTr	2.3819e-06
DBTS	2.3819e-06
BTS6	2.3819e-06
AKP1	2.3819e-06
DHNPA2r	2.3819e-06
HPPK2	2.3819e-06
DHFS	2.3819e-06
NADK1	2.3819e-06
DHPS2	2.3819e-06
APRAUR	2.3819e-06
PMDPHT	2.3819e-06
HMPK4	2.3819e-06
