	minimum	maximum
SULR	0.0	0.013175483945610094
LEUTAi	0.0	1000.0
TRPS3	0.0	0.0015385125672008385
PPND	0.0	0.672999999999265
ADSK	0.0	0.0
SLFAT	-1000.0	0.0
AHCYSNS	0.0	0.0
CYSTL	0.0	0.09614285714277084
DHPTDCs2	0.0	0.0
HCYSMT	0.0	0.2243333333330901
HCYSMT2	0.0	0.22433333333308733
HSST	0.0	0.020740584560608243
METAT	1.363521030719465e-05	0.2243469685434368
METOX1s	0.0	0.0
METOX2s	0.0	0.0
METS	0.00348054528172445	0.22781387861489005
MTHTHFSs	0.0	0.0
RHCCE	0.0	0.0
SHSL1	0.0	0.020740584560608188
BG_CELLB	0.07700000000016605	0.75
ALCD19y	0.0	0.6729999999999643
DHAK	0.0	1.1346271950219429
G3PD1ir	0.0	1.1346271950221318
G3PT	0.0	1.1346271950219322
GLYCDy	0.0	1.1346271950219322
GLYK	0.0	0.6729999999999263
GPDDA1	0.0	0.032760743444473266
3DSPHR	0.0	0.0
CERS124	0.0	0.0
CERS126	0.0	0.0
CERS224	0.0	0.0
CERS226	0.0	0.0
MEVK1	0.0	0.0
MEVK2	0.0	0.0
MEVK3	0.0	0.0
MEVK4	0.0	0.0
PMEVK	0.0	0.0
PSPHPL	0.0	0.0
SBPP1	0.0	0.6729999999998912
SBPP2	0.0	0.6729999999999277
SERPT	0.0	0.0
SLCBK1	0.0	0.6729999999998624
SLCBK2	0.0	0.6729999999998721
SPHPL	0.0	0.0
DMATT	0.0	0.0
DPMVD	0.0	0.0
ERGSTGLCT	0.0	0.0
FRTT	0.0	0.0
GRTT	0.0	0.0
HMGCOAR	0.0	0.0
HMGCOAS	0.0	1000.0
IPDDI	0.0	0.0
CHLPCTD	0.0	0.0
CHOLK	0.0	0.6729999999972092
ETHAK	0.0	0.22433333333243133
MI13456PK	0.0	0.0
MI1456PK	0.0	0.0
MI145PK	0.0	0.6729999999972559
MI1PP	0.0	0.0
MI1PS	0.0	0.0
PETHCT	0.0	0.22433333333243163
PMI12346PH	0.0	0.6729999999972727
PMI12346PS	0.0	0.6729999999972593
PMI1346PH	0.0	0.6729999999972138
PMI1346PS	0.0	0.6729999999999259
3MOPt	0.0	0.0
ACt2r	-2.2081895238627314	-1.4269519499707366
ADEt2	0.0	0.0
ADNt2	0.0	0.0
AKGMAL	0.0	0.0
AKGt2r	0.0	0.0
AMETt2	0.0	0.0
ARGt2r	0.0	0.0
ASNt2r	0.0	0.0
ASPt2r	0.0	0.0
BTNt2i	0.0	0.0
CHLt2	0.0	0.0
CITt2r	0.0	0.0
CO2t	-2.4693271347725902	0.0
CSNt2	0.0	0.0
CYSt2r	0.0	0.013438574165778289
CYTDt2	0.0	0.0
D_LACt2	-0.6729999999999534	0.0
ETHAt	0.0	0.0
DTTPt	0.0	0.0
DURIt2	0.0	0.0
DCYTt2	0.0	0.0
DGSNt2	0.0	0.0
DINSt2	0.0	0.0
FRUt2	0.0	0.0
GLCt1	0.1540000000001447	1.5
GSNt2	0.0	0.0
GUAt2r	0.0	0.0
HDCAt	0.0	0.0
TTDCAtr	0.0	0.0
HXANt2r	0.0	0.0
INSt2	0.0	0.0
INSTt2	0.0	0.0
MELIBt2	0.0	0.0
NMNTP	0.0	0.0
MMETt2	0.0	0.0
NACt	0.0	0.0
NADPt	0.0	0.0
OAAt	0.0	0.0
OCDCAt	0.0	0.0
ORNt2r	0.0	0.0
PNTOt2	0.0	0.0
SO3t	0.0	0.013175483945610094
HCO3E	0.07624010362302938	0.16871320083668745
HCO3_h_ti	0.0	0.0
H2St1	0.0	0.0
H2td	0.3937751387665328	4.233291707037371
ALAt4	0.0	0.0
GLYt4	0.0	0.0
ASNt4	0.0	0.0
GLUt4	0.0	0.0
SERabc	0.0	0.0
SO4ti	0.0	0.0
NH4t	0.0	0.3837862655245795
NAt	0.0	0.0
CA2t	0.0	0.0
Kt1	0.0	0.0
MGt5	0.0	0.0
H2Ot	0.6692164812854465	2.0273111980345133
XYLt2	0.0	0.0
GLCt2	0.0	0.6729999999998997
GALt2	0.0	0.0
SUCRt2	0.0	0.0
SBTt2	0.0	0.0
MALTt2	0.0	0.0
MANt2	0.0	0.0
PIt2r	0.06714314698914181	0.07460349665459223
CAt4	0.0	0.0
Kt3r	0.0	0.0
NAt3_1	0.0	0.0
PIt8	0.0	0.0
PPIabc	0.0	0.0
MALTabc	0.0	0.0
RMNabc	0.0	0.0
SUCCabc	0.0	0.0
SUCRabc	0.0	0.0
GLNabc	0.0	0.0
ARB_Dabc	0.0	0.0
ARBabc	0.0	0.0
CYSabc	0.0	0.013438574165778235
ARGabc	0.0	0.0
CELLBabc	0.0	0.6729999999999277
SERt2r	0.0	0.0
PROt2r	0.0	0.0
PYRt2	0.0	0.0
PHEt2r	0.0	0.0
METt2r	0.0	0.0
LYSt2r	0.0	0.0
LEUt2r	0.0	0.0
VALt2r	0.0	0.0
ILEt2r	0.0	0.0
GLUt2r	0.0	0.0
GLNt2r	0.0	0.0
SUCCt2r	-0.26441368193370196	-0.04008034860038294
THRt2r	0.0	0.0
TRPt2r	0.0	0.0
TYRt2r	0.0	0.0
FUMt2r	0.0	0.0
ALAt2r	0.0	0.0
GLYCt2	0.0	0.0
GLYt2r	0.0	0.0
HISt2r	0.0	0.0
4ABZt2r	0.0	5.050074102063037e-06
ETOHt2r	-1.057537313720108	-0.3724425969709708
FORt2	-2.469327134772608	0.0
L_LACt2r	0.0	0.0
NH4t_1	0.0	0.3630811315624923
XYLt	0.0	0.0
FRUt1r	0.0	0.0
GALt1r	0.0	0.0
MANt1r	0.0	0.0
MALt	0.0	0.0
4ABZt	-5.0500778915529995e-06	0.0
EX_meoh_e	4.5450701023982165e-06	5.050077891553555e-06
MEOHt2	-5.0500778915535535e-06	-4.5450701023982165e-06
RAFFINt2	0.0	0.0
RAFFabc	0.0	0.0
PHEMEt	4.5450701023982165e-06	5.0500778915535535e-06
ALATRS	0.0	0.0
ARGTRS	0.0	0.0
ASNTRS	0.0	0.0
ASPTRS	0.0	0.0
CYSTRS	0.0	0.0
GLNTRS	0.0	0.0
GLUTRS	0.0	0.0
GLYTRS	0.0	0.0
HISTRS	0.0	0.0
ILETRS	0.0	0.0
LEUTRS	0.0	0.0
LYSTRS	0.0	0.0
METTRS	0.0	0.0
PHETRS	0.0	0.0
PROTRS	0.0	0.0
SERTRS	0.0	0.0
THRTRS	0.0	0.0
TRPTRS	0.0	0.0
TYRTRS	0.0	0.0
VALTRS	0.0	0.0
A1E	0.0	0.0
HEX1	1.5	1.948666666666587
GLUK_syn	0.0	0.0
PGI	1.5	1.5
G6PI	0.0	0.0
PGMT	-0.22433333333329086	0.0
PFK	0.0	1.4479590259037893
FBA	0.0	1.4479590259037904
TPI	1.1114499357636236	1.4479499357635857
GAPD	1.739964943235639	2.874592138257665
PGK	-2.874592138257637	-1.739964943235632
PGM	-2.874596683327764	-2.5380921382577077
ENO	2.6502633499944395	2.874596683327763
PYK	0.0	0.672999999999845
PEPCK_re	-1000.0	999.6479617266147
MDH	-3.2744374055260375	-0.2963085978069701
FUM	-0.2432497307880075	0.14933473881568676
FRDx	0.0	0.2243333333335849
SUCOAS	0.0	0.0207405845606081
ACONTb	0.04579572395448395	0.05088413772721006
ACONTa	0.04579572395448395	0.05088413772721004
ICDHyr	0.04579572395448907	0.05088413772720945
DRPA	0.0	0.2243333333332923
DRBK	0.0	0.0
PPM2	0.0	0.22433333333330216
TKT2	-0.09747471742786962	-0.022696939650090453
TALA	-1.4538641338318414	-0.0059051079280526
TKT1	-0.08068288570581683	-0.0059051079280526
RPE	-0.17815760313370066	-0.02860204757814272
RPI	-0.17814396792339346	-0.028588412367835526
PRPPS	0.0344935202958851	0.37099579283087625
RBK	0.0	0.6729999999999154
PPM	-0.672999999999877	0.33650227253498566
ADPRDP	0.0	0.0
ARAI	0.0	0.0
ARABR	0.0	0.0
GALUi	0.0	1000.0
UDPGD	0.0	0.0
GULND	0.0	0.0
UDPGNP	0.0	0.0
CLBH	0.0	0.672999999999834
GALM	0.0	0.3364999999999363
GALK2	0.0	0.3364999999999625
UDPG4E	0.0	0.0
UGLT	-0.33649999999992497	1000.0
GALT	-1000.0	0.33649999999996316
LACZ	0.0	0.0
EPMGH	0.0	0.0
MELTGH	0.0	0.0
GALIGH	-1000.0	0.33649999999991076
GGLGH	0.0	0.0
GALOR	0.0	0.0
IAGT	0.0	0.3364999999999526
AGMIS	0.0	1000.0
GALS4	0.0	0.0
RAFH	0.0	0.0
GALS3	0.0	0.0
RAFGH	0.0	1000.0
SUCR	0.0	0.0
SBTR	0.0	0.0
HEX4	0.0	0.0
MAN6PI	0.0	0.0
HEX7	0.0	0.0
FBP26	0.0	0.6729999999998744
ALLPI	0.0	0.0
ALLULPE	0.0	0.0
PFK26	0.0	0.6729999999999285
FBA2	0.0	0.0
MALS	0.0	0.0
PGLYCP	0.0	0.0
GF6PTA	0.0234389265180676	0.02604325168674178
ACGAM6PS	0.0234389265180676	0.02604325168674178
ACGAMPM	0.0234389265180676	0.02604325168674178
UAGDP	0.0234389265180676	0.02604325168674178
CHTNDA	0.0	0.0
CHITN1	0.0	0.0
UAG4Ei	0.0	0.0
FCYTOB5OXR_c	-1000.0	0.0
PMANM	0.0	0.0
MAN1PT	0.0	0.0
GMAND	0.0	0.0
GFUCS	0.0	0.0
UDPGLDC	0.0	0.0
XYL14BASE	0.0	0.0
UDPGALM	0.0	0.0
UAPGR	0.0	0.0
PPS	-2.64467838113351	-1.5100511861118768
LDH_D	-1000.0	0.22433333333332794
GLYOX_1	-0.22433333333515293	0.0
GLYOX	0.0	0.224333333333318
ME1	0.0	0.6729999999999065
ME2	0.0	1.1346271950216007
ACOAH	-0.6730000000025741	0.0
ACYP_2	0.0	0.0
ACALD	-1.0575373137222397	0.7990600819688277
ALCD2y	-0.6730000000025912	0.0
ALCD2x	-1.0575373137222526	0.3005574030286631
IPPS	0.01413715687859546	0.015707952087328097
ACCOAC	0.04680967698459922	0.13734834596622422
MI4PP	0.0	0.0
MI3456PK	0.0	0.0
ITKK	0.0	0.0
MI134PK	0.0	0.0
MI1345PP	0.0	0.6729999999999232
ITKPK	0.0	0.6729999999999232
MITKP	0.0	0.6729999999998726
MI145PP	0.0	0.0
MI14PP	0.0	0.0
MI3PS	0.0	0.0
MI3PP	0.0	0.0
MI13PP	0.0	0.0
FFSD	0.0	0.0
UDPGP	0.0	0.3364999999999372
TRE6PP	0.0	0.22433333333329808
TREH	0.0	0.2243333333332913
TRE6PS	0.0	0.2243333333332913
AAMYL_1	0.0	0.0
MALT	0.0	0.0
ALCD20y	0.0	0.0
MGSA	0.0	0.2243333333333248
OBTFL	0.0	0.0
ACS2	0.0	0.0
MME	0.0	0.0
BTCOARx	0.0	0.0
BTDD_RR	0.0	0.0
ACLDC	0.0	0.0
ACLSb	0.0	0.0
PFL	0.0	1.1584068959453544
GLDBRAN2	0.0	1000.0
GLBRAN2	0.0	1000.0
GLCP2	0.0	0.0
GLCP	0.0	0.0
XYLI1	0.0	0.0
XYLK	0.0	0.0
AAMYL	0.0	0.0
PPA	0.11160290035284413	0.46282887718488736
PYRDC	0.0	1.1584068959453613
ALDD2x	0.0	0.6729999999999638
FBA3	0.0	1.4479590259037856
PFK_3	0.0	1.447959025903791
ALATA_L	-0.007301005892394956	-0.006570905303155493
ASNS2	0.0	0.3538522941379443
ASNN	0.0	0.33649999999994895
ASPTA	-999.6479617266145	1000.0
GLUDy	-0.4291008661056254	0.41215027016231875
GLUSy	0.0	0.6729999999993588
GLNS	0.07580937403544472	0.7488093740351492
GLUN	0.0	0.6730000000007971
ASPCT	0.023820283329564144	0.026466981477291884
ASNS1	0.0	0.23590152942531661
r0085	0.0	0.0
ARGSS	0.005610143308866015	0.006233492565406662
ADSS	0.009160371361514614	0.17741150762902147
ARGSL	0.005610143308866015	0.0062334925654066375
ADSL1r	0.009160371361514485	0.17741150762902147
GLUDC	0.0	0.0
CBPS	0.02943042663843016	0.032700474042699934
GLUPRT	0.006393436476614817	0.007103818307347653
GLYCK	0.0	0.3365045450700651
HPYRRy	0.0	5.0500741020658225e-06
HPYRRx	0.0	5.0500778915529995e-06
PSP_L	0.0	0.0
TRPS2	0.0	0.09614285714284879
TRPS1	0.0	0.0015360545175345784
GNMT	0.0	0.0
SER_AL	0.0	0.0
THRA	0.0	0.12133335688646017
GLYAT	-0.1213333568864667	0.0
THRS	0.03465549985824401	0.1494648831056377
THRD	0.0	0.12133335688645301
THRD_L	0.0	0.02074058456060812
HSK	0.034655499858243316	0.14946488310563127
HSDy	-0.7263220259626919	-0.05332202596278979
HSDxi	-0.6729999999999452	0.0
ASAD	-0.14946488310563708	-0.053322025962789774
ASPK	0.05332202596279434	0.14946488310563763
GHMT2r	-0.10750668390981649	-0.011363826766982237
SERD_L	0.0	0.09614285714283041
CYS	-0.6916665261044759	0.0
2AMACHYD	0.0	0.0
SERAT	0.0	0.6729999999999091
CYSS	0.0	0.6729999999999284
CYSTGL	-0.0038622224573578064	0.016878362103250305
CYSTS	-0.0038622224573578146	0.11133338303577743
ADMDC	0.0	0.0
SPMS	0.0	0.0
MTAP	0.0	0.0
MTRI	0.0	0.0
CYSDS	0.0	0.0864583157630547
CYSTA	0.0	0.0
ACPCS	0.0	0.0
METSR_S1	0.0	0.0
ARAT	0.0	0.0
AHCi	4.5450701023982165e-06	0.22433787840340738
CYTOM	0.0	0.0
HSERTA	0.0	0.020740584560608195
FMETDF	0.0	0.0
MHPGLUT	0.0	0.0
AHSERL2	0.0	0.020740584560608198
HMR_3915	0.0	0.22433333333333288
ACLS	0.028112315062939985	0.031235905625488634
KARA1	-0.031235905625488756	-0.028112315062940013
DHAD1	0.028112315062939985	0.031235905625488745
ACHBS	0.015190525892925388	0.016878362103250433
KARA2	-999.9848094741071	0.016878362103250433
DHAD2	0.015190525892925388	0.016878362103250433
IPPMIb	-0.015707952087328274	-0.01413715687859546
IPPMIa	-0.015707952087328274	-0.01413715687859546
IPMD	0.01413715687859546	0.015707952087328232
OMCDC	0.01413715687859546	0.01570795208732829
ILETA	-0.016878362103284417	-0.015190525892925388
VALTA	-0.00885680064341834	-0.007971120579076485
LEUTA	-0.01570795208732833	999.9858628431214
MHGS	0.0	1000.0
KAT1	0.0	0.0
HIBD	0.0	0.0
MMSAD1	0.0	0.0
PPCOAC	0.0	0.0
KARI_1	0.0	1000.0
KARI_23dhmp_1	0.0	1000.0
HCITS	0.015658417127498866	0.017398241252776565
AATA	0.015658417127498866	0.017398241252776565
AASAD1	0.0	0.2347722780854578
SACCD1	0.015658417127498866	0.017398241252776503
LYSDC	0.0	0.0
AASAD3	0.0	0.33650000000068886
AASAD2	0.0	0.35215841712821483
OXOADLR	0.0	0.0
GLCOASYNT	0.0	0.0
GLUTCOADHc	0.0	0.0
ECOAH1	0.0	0.0
ACACCT	0.0	0.0
ACGS	0.0	0.006227724293032195
ACGK	0.005610143308866015	0.006233492565406663
AGPR	-0.006233492565406659	-0.005610143308866015
ACOTA	-0.0062334925654066835	-0.005610143308866015
ORNTAC	0.0	0.006233492565406659
OCBT	0.005610143308866015	0.0062334925654066835
ACODA	0.0	0.006227724293032195
ARGN	0.0	0.0
GLU5K	0.006052642874051499	0.006725158748946088
G5SD	0.006052642874051499	0.006725158748946111
PRO1y	-0.6790526428738715	-0.006052642874051499
PRO1x	0.0	0.67299999999982
ORNDC	0.0	0.0
SPRMS	0.0	0.0
G5SADs	0.006052642874051499	0.006725158748946111
ABTA	0.0	0.0
GACMTRc	0.0	0.0
CMPA_1	0.0	0.0
PTRCAT1	0.0	0.0
AABHH	0.0	0.0
ATPPRT	0.0028860490390233305	0.003206721154470367
PRATPP	0.0028860490390233305	0.003206721154470367
PRMICI	0.0028860490390233305	0.003206721154470367
IGPDH	0.0028860490390233305	0.003206721154470367
HSTPT	0.0028860490390233305	0.003206721154470367
HISTP	0.0028860490390233305	0.003206721154470367
HISTD	0.0028860490390233305	0.003206721154470367
PRAMPC	0.0028860490390233305	0.003206721154470367
IG3PS	0.0028860490390233305	0.003206721154470367
DDPA	0.016791831722037853	0.01865759080226422
DHQS	0.016791831722037853	0.01865759080226428
DHQTi	0.016791831722037853	0.01865759080226428
SHK3Dr	0.016791831722037853	0.01865759080226428
SHKK	0.016791831722037853	0.01865759080226428
PSCVT	0.016791831722037853	0.01865759080226428
CHORS	0.016791831722037853	0.01865759080226428
CHORM	0.015407170411557094	0.017119078235063437
PPND2	-0.665064915163397	0.008816760929516243
TYRTA	-0.00881676092951621	-0.007935084836564618
PHETA1	-0.008302317305547195	-0.007472085574992475
AROH	0.0	0.0
PPNDH	0.007472085574992475	0.008302317305547162
ANS	0.0013846613104807595	0.001538512567200844
ANPRT	0.0013846613104807595	0.001538512567200844
PRAIi	0.0013846613104807595	0.001538512567200844
IGPS	0.0013846613104807595	0.0015385125672008385
TRPAS2	-0.0015385125672008376	0.09475819583236803
INDPYRD	0.0	0.0
NTRLASE	0.0	0.0
ALDD20x	0.0	0.0
ALDD20y	0.0	0.0
FKYNH	0.0	0.0
KYNAKGAT	0.0	0.0
3HKYNAKGAT	0.0	0.0
3HXKYNDCL	0.0	0.0
HACD1	-0.6729999999998856	0.0
HBCO_nadp	0.0	0.6729999999998236
EX_ac_e	1.4269519499707295	2.208189523862725
EX_cellb_e	-0.75	-0.75
EX_co2_e	0.0	2.4693271347725982
EX_etoh_e	0.37244259697096815	1.0575373137200783
EX_for_e	0.0	2.4693271347726022
EX_fru_e	0.0	0.0
EX_gal_e	0.0	0.0
EX_glc__D_e	0.0	0.0
EX_h_e	1.772331748552939	4.926753600074684
EX_h2_e	0.39377513876649395	4.2332917070373455
EX_h2o_e	-2.104311198034617	-1.4192164812854393
EX_lac__D_e	0.0	0.6729999999999645
EX_lac__L_e	0.0	0.0
EX_man_e	0.0	0.0
EX_nh4_e	-0.38378626552456735	-0.34021007849893375
EX_pi_e	-0.07460349665459558	-0.06714314698913482
EX_rib__D_e	0.0	0.0
EX_xyl__D_e	0.0	0.0
EX_gly_e	0.0	0.0
EX_ala__L_e	0.0	0.0
EX_val__L_e	0.0	0.0
EX_leu__L_e	0.0	0.0
EX_met__L_e	0.0	0.0
EX_ile__L_e	0.0	0.0
EX_ser__L_e	0.0	0.0
EX_thr__L_e	0.0	0.0
EX_cys__L_e	-0.013438574165778289	0.0
EX_pro__L_e	0.0	0.0
EX_asn__L_e	0.0	0.0
EX_gln__L_e	0.0	0.0
EX_phe__L_e	0.0	0.0
EX_tyr__L_e	0.0	0.0
EX_trp__L_e	0.0	0.0
EX_lys__L_e	0.0	0.0
EX_arg__L_e	0.0	0.0
EX_his__L_e	0.0	0.0
EX_asp__L_e	0.0	0.0
EX_glu__L_e	0.0	0.0
EX_sbt__D_e	0.0	0.0
EX_malt_e	0.0	0.0
EX_sucr_e	0.0	0.0
EX_arab__L_e	0.0	0.0
EX_arab__D_e	0.0	0.0
EX_rmn_e	0.0	0.0
EX_pyr_e	0.0	0.0
EX_succ_e	0.04008034860038294	0.26441368193370196
EX_cit_e	0.0	0.0
EX_glyc_e	0.0	0.0
EX_4abz_e	-5.0500778915530165e-06	-4.545070102401211e-06
EX_fum_e	0.0	0.0
EX_ppi_e	0.0	0.0
EX_hco3_e	0.0	0.0
EX_h2s_e	0.0	0.0
EX_k_e	0.0	0.0
EX_ca2_e	0.0	0.0
EX_na1_e	0.0	0.0
EX_mg2_e	0.0	0.0
EX_so4_e	0.0	0.0
EX_pectin_e	0.0	0.0
EX_acgam_e	0.0	0.0
EX_dextrin_e	0.0	0.0
EX_raffin_e	0.0	0.0
EX_oaa_e	0.0	0.0
EX_pheme_e	-5.050077891553574e-06	-4.5450701023982165e-06
EX_mal__L_e	0.0	0.0
EX_3mop_e	0.0	0.0
EX_ade_e	0.0	0.0
EX_adn_e	0.0	0.0
EX_akg_e	0.0	0.0
EX_amet_e	0.0	0.0
EX_btn_e	0.0	0.0
EX_chol_e	0.0	0.0
EX_csn_e	0.0	0.0
EX_cytd_e	0.0	0.0
EX_etha_e	0.0	0.0
EX_dttp_e	0.0	0.0
EX_duri_e	0.0	0.0
EX_dcyt_e	0.0	0.0
EX_dgsn_e	0.0	0.0
EX_gsn_e	0.0	0.0
EX_gua_e	0.0	0.0
EX_hdca_e	0.0	0.0
EX_hxan_e	0.0	0.0
EX_ins_e	0.0	0.0
EX_inost_e	0.0	0.0
EX_melib_e	0.0	0.0
EX_nmn_e	0.0	0.0
EX_mmet_e	0.0	0.0
EX_nac_e	0.0	0.0
EX_nadp_e	0.0	0.0
EX_ocdca_e	0.0	0.0
EX_ttdca_e	0.0	0.0
EX_pnto__R_e	0.0	0.0
EX_orn_e	0.0	0.0
EX_so3_e	-0.013175483945610094	0.0
PPRGL	0.006393436476614817	0.007103818307348347
GARFT	0.006393436476614817	0.007103818307347653
PRFGS	0.006393436476614817	0.007103818307347653
PRFGCL	0.006393436476614817	0.007103818307347653
PRAIC	0.006393436476614817	0.007103818307347653
PRASCSi	0.006393436476615458	0.007103818307348347
